Synset,Level,Encoding
vertebrate,0,0
invertebrate,0,1
bird,1,0
fish,1,1
herpetologic,1,2
dog,1,3
rodenticidal,1,4
large_omnivore_herbivore,1,5
ursine,1,6
primatenic,1,7
other_mammal,1,8
arthropod,1,9
molluscan,1,10
aquatic_bird,2,0
bird_of_prey,2,1
coraciiform_bird,2,2
gallinaceous_bird,2,3
piciform_bird,2,4
parrot,2,5
passerine,2,6
bony_fish,2,7
cartilaginous_fish,2,8
crocodilian_reptile,2,9
frog,2,10
salamander,2,11
saurian,2,12
snake,2,13
turtle,2,14
fox,2,15
wild_dog,2,16
wolf,2,17
corgi,2,18
poodle,2,19
spitz,2,20
toy_dog,2,21
terrier,2,22
sporting_dog,2,23
hound,2,24
working_dog,2,25
musteline_mammal,2,26
rodent,2,27
viverrine,2,28
pachyderm,2,29
ungulate,2,30
bear,2,31
marsupial,2,32
procyonid,2,33
edentate,2,34
primate,2,35
aquatic_mammal,2,36
feline,2,37
lagomorph,2,38
monotreme,2,39
arachnid,2,40
crustacean,2,41
insect,2,42
coelenterate,2,43
echinoderm,2,44
mollusk,2,45
worm,2,46
drake,3,0
red-breasted_merganser,3,1
goose,3,2
black_swan,3,3
white_stork,3,4
black_stork,3,5
spoonbill,3,6
flamingo,3,7
little_blue_heron,3,8
american_egret,3,9
bittern,3,10
crane,3,11
limpkin,3,12
european_gallinule,3,13
american_coot,3,14
bustard,3,15
ruddy_turnstone,3,16
red-backed_sandpiper,3,17
redshank,3,18
dowitcher,3,19
oystercatcher,3,20
pelican,3,21
king_penguin,3,22
albatross,3,23
kite,3,24
bald_eagle,3,25
vulture,3,26
great_grey_owl,3,27
bee_eater,3,28
hornbill,3,29
black_grouse,3,30
ptarmigan,3,31
ruffed_grouse,3,32
prairie_chicken,3,33
peacock,3,34
quail,3,35
partridge,3,36
jacamar,3,37
toucan,3,38
african_grey,3,39
macaw,3,40
sulphur-crested_cockatoo,3,41
lorikeet,3,42
brambling,3,43
goldfinch,3,44
house_finch,3,45
junco,3,46
indigo_bunting,3,47
robin,3,48
bulbul,3,49
jay,3,50
magpie,3,51
chickadee,3,52
water_ouzel,3,53
tench,3,54
goldfish,3,55
eel,3,56
coho,3,57
rock_beauty,3,58
anemone_fish,3,59
sturgeon,3,60
gar,3,61
lionfish,3,62
puffer,3,63
great_white_shark,3,64
tiger_shark,3,65
hammerhead,3,66
electric_ray,3,67
stingray,3,68
african_crocodile,3,69
american_alligator,3,70
bullfrog,3,71
tree_frog,3,72
tailed_frog,3,73
european_fire_salamander,3,74
common_newt,3,75
eft,3,76
spotted_salamander,3,77
axolotl,3,78
banded_gecko,3,79
common_iguana,3,80
american_chameleon,3,81
whiptail,3,82
agama,3,83
frilled_lizard,3,84
alligator_lizard,3,85
gila_monster,3,86
green_lizard,3,87
african_chameleon,3,88
